permit id,address,description,category,value,issue date,location
6380417,225 NW 52ND ST,"Establish use as and construct new single family residence and construct new detached carport, per plans.",SINGLE FAMILY / DUPLEX,338198,2014-06-23 00:00:00,"{'latitude': '47.66670506', 'longitude': '-122.35987149', 'needs_recoding': False}"
6403224,8023 26TH AVE NW,"Establish use as and construct single family residence with attached garage, and occupy, per plan.",SINGLE FAMILY / DUPLEX,392849,2014-06-24 00:00:00,"{'latitude': '47.68748686', 'longitude': '-122.39007196', 'needs_recoding': False}"
6404600,1756 NW 61ST ST,"Establish use and construct 4-unit rowhouse with surface parking, per plan.",MULTIFAMILY,656315,2014-06-24 00:00:00,"{'latitude': '47.67325969', 'longitude': '-122.38145898', 'needs_recoding': False}"
6399218,924 29TH AVE S,"Construct west single family residence, per plan. (Establish use as and construct two new single family residences with surface parking, per plan / Review and processing for two AP's under 6380478).",SINGLE FAMILY / DUPLEX,240440,2014-06-24 00:00:00,"{'latitude': '47.59371337', 'longitude': '-122.29517934', 'needs_recoding': False}"
6380478,926 29TH AVE S,"Construct east single family residence, per plan. (Establish use as and construct two new single family residences with surface parking, per plan / Review and processing for two AP's under 6380478).",SINGLE FAMILY / DUPLEX,252462,2014-06-24 00:00:00,"{'latitude': '47.59369513', 'longitude': '-122.29504151', 'needs_recoding': False}"
6345681,2005 E DENNY WAY,"Establish use as and construct new 4-unit townhouse structure with attached garages, and occupy per plans",MULTIFAMILY,877514,2014-06-24 00:00:00,"{'latitude': '47.61818491', 'longitude': '-122.30562069', 'needs_recoding': False}"
6409154,123 NW 77TH ST,Demolish existing single family residence and detached garage.,SINGLE FAMILY / DUPLEX,395103,2014-06-25 00:00:00,"{'latitude': '47.68455927', 'longitude': '-122.35898609', 'needs_recoding': False}"
6403734,3100 E PINE ST,"Demolish existing single family residence to foundation (STFI), per plans.  Establish use as and construct new single family residence on existing foundation w/attached garage, per plans.",SINGLE FAMILY / DUPLEX,455856,2014-06-25 00:00:00,"{'latitude': '47.61543883', 'longitude': '-122.29216137', 'needs_recoding': False}"
6403746,13017 1ST AVE NW,"Establish use as and construct single family residence with detached accessory dwelling unit and attached garage and occupy, per plan.",SINGLE FAMILY / DUPLEX,380814,2014-06-25 00:00:00,"{'latitude': '47.72374714', 'longitude': '-122.35855818', 'needs_recoding': False}"
6383652,8849 DENSMORE AVE N,"Establish use as and construct new single family residence with detached garage, per plan.",SINGLE FAMILY / DUPLEX,308399,2014-06-25 00:00:00,"{'latitude': '47.69379264', 'longitude': '-122.3381203', 'needs_recoding': False}"
6406678,914 N 90TH ST,Establish use and construct single family residence with attached garage per plans,SINGLE FAMILY / DUPLEX,403954,2014-06-25 00:00:00,"{'latitude': '47.69438985', 'longitude': '-122.34653605', 'needs_recoding': False}"
6396660,932 N 97TH ST,"Establish use as and construct south single family residence, per plan. (Establish use as and construct 3 single family residence with surface parking, per plan. - processing for 3 AP's under 6396660)",SINGLE FAMILY / DUPLEX,189745,2014-06-25 00:00:00,"{'latitude': '47.69981786', 'longitude': '-122.34592699', 'needs_recoding': False}"
6402536,936 N 97TH ST,"Establish use as and construct north single family residence, per plan. (Establish use as and construct 3 single family residence with surface parking, per plan. - processing for 3 AP's under 6396660)",SINGLE FAMILY / DUPLEX,198803,2014-06-25 00:00:00,"{'latitude': '47.69999258', 'longitude': '-122.34593665', 'needs_recoding': False}"
6402535,934 N 97TH ST,"Establish use as and construct middle single family residence, per plan. (Establish use as and construct 3 single family residence with surface parking, per plan. - processing for 3 AP's under 6396660)",SINGLE FAMILY / DUPLEX,198803,2014-06-25 00:00:00,"{'latitude': '47.69992139', 'longitude': '-122.34593559', 'needs_recoding': False}"
6377713,1919 8TH AVE W,"Establish use as rowhouses and construct duplex with one attached garage, per plan.",MULTIFAMILY,475354,2014-06-25 00:00:00,"{'latitude': '47.63656532', 'longitude': '-122.36802616', 'needs_recoding': False}"
6408607,4224 47TH AVE S,"Establish use as and construct single family residence with attached garage, per plan.",SINGLE FAMILY / DUPLEX,331751,2014-06-26 00:00:00,"{'latitude': '47.56449058', 'longitude': '-122.2742333', 'needs_recoding': False}"
6371822,202 N 87TH ST,"Establish use as and Construct new single family residence, per plan.",SINGLE FAMILY / DUPLEX,349923,2014-06-26 00:00:00,"{'latitude': '47.69257004', 'longitude': '-122.35649747', 'needs_recoding': False}"
6389860,408 W FULTON ST,"Construct single family residence. (Establish use for and construction of single family residence and 2-unit townhouse, per plans. Reviews and processing for 2 A/P's under 6389860).",SINGLE FAMILY / DUPLEX,195343,2014-06-26 00:00:00,"{'latitude': '47.64603011', 'longitude': '-122.36273174', 'needs_recoding': False}"
